Instance,Strategy,Gamma set,Gamma,Repetition
200.20.3,adaptive,g1,"0.3,0.2,0.1,0.3",4
200.20.3,adaptive,g1,"0.3,0.2,0.1,0.3",5
200.20.3,adaptive,g2,"0.5,0.3,0.1,0.3",1
200.20.3,adaptive,g2,"0.5,0.3,0.1,0.3",2
200.20.3,adaptive,g2,"0.5,0.3,0.1,0.3",3
200.20.3,adaptive,g2,"0.5,0.3,0.1,0.3",4
200.20.3,adaptive,g2,"0.5,0.3,0.1,0.3",5
200.20.3,adaptive,g3,"0.3,0.2,0.1,0.6",1
200.20.3,adaptive,g3,"0.3,0.2,0.1,0.6",2
200.20.3,adaptive,g3,"0.3,0.2,0.1,0.6",3
200.20.3,adaptive,g3,"0.3,0.2,0.1,0.6",4
200.20.3,adaptive,g3,"0.3,0.2,0.1,0.6",5
200.20.3,adaptive,g4,"0.5,0.3,0.1,0.6",1
200.20.3,adaptive,g4,"0.5,0.3,0.1,0.6",2
200.20.3,adaptive,g4,"0.5,0.3,0.1,0.6",3
200.20.3,adaptive,g4,"0.5,0.3,0.1,0.6",4
200.20.3,adaptive,g4,"0.5,0.3,0.1,0.6",5
200.20.4,cyclic,,,1
200.20.4,cyclic,,,2
200.20.4,cyclic,,,3
200.20.4,cyclic,,,4
200.20.4,cyclic,,,5
200.20.4,random,,,1
200.20.4,random,,,2
200.20.4,random,,,3
200.20.4,random,,,4
200.20.4,random,,,5
200.20.4,adaptive,g1,"0.3,0.2,0.1,0.3",1
200.20.4,adaptive,g1,"0.3,0.2,0.1,0.3",2
200.20.4,adaptive,g1,"0.3,0.2,0.1,0.3",3
200.20.4,adaptive,g1,"0.3,0.2,0.1,0.3",4
200.20.4,adaptive,g1,"0.3,0.2,0.1,0.3",5
200.20.4,adaptive,g2,"0.5,0.3,0.1,0.3",1
200.20.4,adaptive,g2,"0.5,0.3,0.1,0.3",2
200.20.4,adaptive,g2,"0.5,0.3,0.1,0.3",3
200.20.4,adaptive,g2,"0.5,0.3,0.1,0.3",4
200.20.4,adaptive,g2,"0.5,0.3,0.1,0.3",5
200.20.4,adaptive,g3,"0.3,0.2,0.1,0.6",1
200.20.4,adaptive,g3,"0.3,0.2,0.1,0.6",2
200.20.4,adaptive,g3,"0.3,0.2,0.1,0.6",3
200.20.4,adaptive,g3,"0.3,0.2,0.1,0.6",4
200.20.4,adaptive,g3,"0.3,0.2,0.1,0.6",5
200.20.4,adaptive,g4,"0.5,0.3,0.1,0.6",1
200.20.4,adaptive,g4,"0.5,0.3,0.1,0.6",2
200.20.4,adaptive,g4,"0.5,0.3,0.1,0.6",3
200.20.4,adaptive,g4,"0.5,0.3,0.1,0.6",4
200.20.4,adaptive,g4,"0.5,0.3,0.1,0.6",5
200.30.1,cyclic,,,1
200.30.1,cyclic,,,2
200.30.1,cyclic,,,3
200.30.1,cyclic,,,4
200.30.1,cyclic,,,5
200.30.1,random,,,1
200.30.1,random,,,2
200.30.1,random,,,3
200.30.1,random,,,4
200.30.1,random,,,5
200.40.1,cyclic,,,1
200.40.1,cyclic,,,2
200.40.1,cyclic,,,3
200.40.1,cyclic,,,4
200.40.1,cyclic,,,5
200.40.1,random,,,3
200.40.1,random,,,5
200.40.1,adaptive,g1,"0.3,0.2,0.1,0.3",2
200.40.1,adaptive,g1,"0.3,0.2,0.1,0.3",3
200.40.1,adaptive,g1,"0.3,0.2,0.1,0.3",4
200.40.1,adaptive,g1,"0.3,0.2,0.1,0.3",5
200.40.1,adaptive,g2,"0.5,0.3,0.1,0.3",2
200.40.1,adaptive,g2,"0.5,0.3,0.1,0.3",3
200.40.1,adaptive,g2,"0.5,0.3,0.1,0.3",4
200.40.1,adaptive,g2,"0.5,0.3,0.1,0.3",5
200.40.1,adaptive,g3,"0.3,0.2,0.1,0.6",2
200.40.1,adaptive,g3,"0.3,0.2,0.1,0.6",3
200.40.1,adaptive,g3,"0.3,0.2,0.1,0.6",4
200.40.1,adaptive,g3,"0.3,0.2,0.1,0.6",5
200.40.1,adaptive,g4,"0.5,0.3,0.1,0.6",2
200.40.1,adaptive,g4,"0.5,0.3,0.1,0.6",3
200.40.1,adaptive,g4,"0.5,0.3,0.1,0.6",4
200.40.1,adaptive,g4,"0.5,0.3,0.1,0.6",5
200.40.2,cyclic,,,1
200.40.2,cyclic,,,2
200.40.2,cyclic,,,3
200.40.2,cyclic,,,4
200.40.2,cyclic,,,5
200.40.2,random,,,1
200.40.2,random,,,2
200.40.2,random,,,3
200.40.2,random,,,4
200.40.2,random,,,5
200.40.2,adaptive,g1,"0.3,0.2,0.1,0.3",1
200.40.2,adaptive,g1,"0.3,0.2,0.1,0.3",2
200.40.2,adaptive,g1,"0.3,0.2,0.1,0.3",3
200.40.2,adaptive,g1,"0.3,0.2,0.1,0.3",4
200.40.2,adaptive,g1,"0.3,0.2,0.1,0.3",5
200.40.2,adaptive,g2,"0.5,0.3,0.1,0.3",1
200.40.2,adaptive,g2,"0.5,0.3,0.1,0.3",2
200.40.2,adaptive,g2,"0.5,0.3,0.1,0.3",3
200.40.2,adaptive,g2,"0.5,0.3,0.1,0.3",4
200.40.2,adaptive,g2,"0.5,0.3,0.1,0.3",5
200.40.2,adaptive,g3,"0.3,0.2,0.1,0.6",1
200.40.2,adaptive,g3,"0.3,0.2,0.1,0.6",2
200.40.2,adaptive,g3,"0.3,0.2,0.1,0.6",3
200.40.2,adaptive,g3,"0.3,0.2,0.1,0.6",4
200.40.2,adaptive,g3,"0.3,0.2,0.1,0.6",5
200.40.2,adaptive,g4,"0.5,0.3,0.1,0.6",1
200.40.2,adaptive,g4,"0.5,0.3,0.1,0.6",2
200.40.2,adaptive,g4,"0.5,0.3,0.1,0.6",3
200.40.2,adaptive,g4,"0.5,0.3,0.1,0.6",4
200.40.2,adaptive,g4,"0.5,0.3,0.1,0.6",5
200.40.3,cyclic,,,1
200.40.3,cyclic,,,2
200.40.3,cyclic,,,3
200.40.3,cyclic,,,4
200.40.3,cyclic,,,5
200.40.3,random,,,1
200.40.3,random,,,2
200.40.3,random,,,3
200.40.3,random,,,4
200.40.3,random,,,5
200.40.3,adaptive,g1,"0.3,0.2,0.1,0.3",1
200.40.3,adaptive,g1,"0.3,0.2,0.1,0.3",2
200.40.3,adaptive,g1,"0.3,0.2,0.1,0.3",3
200.40.3,adaptive,g1,"0.3,0.2,0.1,0.3",4
200.40.3,adaptive,g1,"0.3,0.2,0.1,0.3",5
200.40.3,adaptive,g2,"0.5,0.3,0.1,0.3",1
200.40.3,adaptive,g2,"0.5,0.3,0.1,0.3",2
200.40.3,adaptive,g2,"0.5,0.3,0.1,0.3",3
200.40.3,adaptive,g2,"0.5,0.3,0.1,0.3",4
200.40.3,adaptive,g2,"0.5,0.3,0.1,0.3",5
200.40.3,adaptive,g3,"0.3,0.2,0.1,0.6",1
200.40.3,adaptive,g3,"0.3,0.2,0.1,0.6",2
200.40.3,adaptive,g3,"0.3,0.2,0.1,0.6",3
200.40.3,adaptive,g3,"0.3,0.2,0.1,0.6",4
200.40.3,adaptive,g3,"0.3,0.2,0.1,0.6",5
200.40.3,adaptive,g4,"0.5,0.3,0.1,0.6",1
200.40.3,adaptive,g4,"0.5,0.3,0.1,0.6",2
200.40.3,adaptive,g4,"0.5,0.3,0.1,0.6",3
200.40.3,adaptive,g4,"0.5,0.3,0.1,0.6",4
200.40.3,adaptive,g4,"0.5,0.3,0.1,0.6",5
200.40.4,cyclic,,,1
200.40.4,cyclic,,,2
200.40.4,cyclic,,,3
200.40.4,cyclic,,,4
200.40.4,cyclic,,,5
200.40.4,random,,,1
200.40.4,random,,,2
200.40.4,random,,,3
200.40.4,random,,,4
200.40.4,random,,,5
200.40.4,adaptive,g1,"0.3,0.2,0.1,0.3",1
200.40.4,adaptive,g1,"0.3,0.2,0.1,0.3",2
200.40.4,adaptive,g1,"0.3,0.2,0.1,0.3",3
200.40.4,adaptive,g1,"0.3,0.2,0.1,0.3",4
200.40.4,adaptive,g1,"0.3,0.2,0.1,0.3",5
200.40.4,adaptive,g2,"0.5,0.3,0.1,0.3",1
200.40.4,adaptive,g2,"0.5,0.3,0.1,0.3",2
200.40.4,adaptive,g2,"0.5,0.3,0.1,0.3",3
200.40.4,adaptive,g2,"0.5,0.3,0.1,0.3",4
200.40.4,adaptive,g2,"0.5,0.3,0.1,0.3",5
200.40.4,adaptive,g3,"0.3,0.2,0.1,0.6",1
200.40.4,adaptive,g3,"0.3,0.2,0.1,0.6",2
200.40.4,adaptive,g3,"0.3,0.2,0.1,0.6",3
200.40.4,adaptive,g3,"0.3,0.2,0.1,0.6",4
200.40.4,adaptive,g3,"0.3,0.2,0.1,0.6",5
200.40.4,adaptive,g4,"0.5,0.3,0.1,0.6",1
200.40.4,adaptive,g4,"0.5,0.3,0.1,0.6",2
200.40.4,adaptive,g4,"0.5,0.3,0.1,0.6",3
200.40.4,adaptive,g4,"0.5,0.3,0.1,0.6",4
200.40.4,adaptive,g4,"0.5,0.3,0.1,0.6",5
